Name,District,Sentiment,Comment
Amy Foster,Gasabo,Positive,I think the distance-based fare is much fairer than the flat rate.
Lisa Martin,Gasabo,Positive,This new fare system saves me money on short trips.
Ronald Duncan,Nyarugenge,Positive,Distance-based fares make the public transport system more efficient.
Raymond Pugh,Kicukiro,Positive,I think the distance-based fare is much fairer than the flat rate.
Jessica Bishop,Gasabo,Negative,Now I pay more for the same journey. This is not fair!
Peter White,Nyarugenge,Neutral,I'm still getting used to the new pricing system.
Kayla Jenkins,Kicukiro,Positive,Distance-based fares make the public transport system more efficient.
Carol Phillips,Gasabo,Positive,"Finally, we pay based on how far we go. This is a great improvement!"
Sarah Warren,Nyarugenge,Positive,I think the distance-based fare is much fairer than the flat rate.
Lauren Hardy,Gasabo,Positive,"Finally, we pay based on how far we go. This is a great improvement!"
Matthew Acevedo,Gasabo,Negative,The new fare model is confusing and costly for daily commuters.
William Ross,Nyarugenge,Negative,Distance-based pricing is unfair to people who live far from the city.
Eric Reynolds,Kicukiro,Neutral,I don't see much difference between the old and new fare systems.
Bruce Kramer,Kicukiro,Neutral,The distance-based fare has pros and cons depending on where you live.
Kevin Moore,Nyarugenge,Negative,This new fare system is too expensive for long commutes.
Megan Martinez,Nyarugenge,Negative,This new fare system is too expensive for long commutes.
Miranda Calderon,Gasabo,Neutral,It’s too early to tell if this system is better or worse.
Carl Robinson,Nyarugenge,Negative,Now I pay more for the same journey. This is not fair!
Melissa Thompson,Nyarugenge,Neutral,I'm still getting used to the new pricing system.
Michael Davis,Nyarugenge,Neutral,I'm still getting used to the new pricing system.
Kimberly Hale,Gasabo,Neutral,The distance-based fare has pros and cons depending on where you live.
Stephen Kelly,Kicukiro,Neutral,The change is interesting but needs more public education.
Kevin Moon,Gasabo,Negative,The new fare model is confusing and costly for daily commuters.
Traci Johnson,Gasabo,Negative,I preferred the flat rate fare. It was simpler and cheaper.
Joanna Shields,Kicukiro,Positive,I like the new system. It's more transparent and reasonable.
Christopher Hunt,Gasabo,Neutral,It’s too early to tell if this system is better or worse.
Janice Joseph,Nyarugenge,Neutral,I don't see much difference between the old and new fare systems.
Whitney Koch,Gasabo,Positive,I think the distance-based fare is much fairer than the flat rate.
Scott Ramirez,Nyarugenge,Positive,This new fare system saves me money on short trips.
Jennifer Powell,Kicukiro,Negative,This new fare system is too expensive for long commutes.
Dawn Jacobs,Gasabo,Neutral,The change is interesting but needs more public education.
Edward Becker,Kicukiro,Negative,Distance-based pricing is unfair to people who live far from the city.
John Perkins,Nyarugenge,Neutral,The distance-based fare has pros and cons depending on where you live.
Richard Porter,Nyarugenge,Positive,"Finally, we pay based on how far we go. This is a great improvement!"
Alan Campbell,Gasabo,Negative,Now I pay more for the same journey. This is not fair!
Krystal Kerr,Gasabo,Negative,Now I pay more for the same journey. This is not fair!
Debbie Cook,Nyarugenge,Negative,The new fare model is confusing and costly for daily commuters.
James Barry,Kicukiro,Neutral,It’s too early to tell if this system is better or worse.
Michael Smith,Nyarugenge,Negative,Now I pay more for the same journey. This is not fair!
Robert Thomas,Kicukiro,Positive,I think the distance-based fare is much fairer than the flat rate.
Melissa Landry,Gasabo,Neutral,I don't see much difference between the old and new fare systems.
Bianca Ramos MD,Nyarugenge,Negative,Now I pay more for the same journey. This is not fair!
Charles Johnston,Gasabo,Neutral,The change is interesting but needs more public education.
Cathy Young,Gasabo,Positive,I like the new system. It's more transparent and reasonable.
Keith Anderson,Gasabo,Positive,I like the new system. It's more transparent and reasonable.
William Rice,Gasabo,Negative,Now I pay more for the same journey. This is not fair!
Matthew Gardner,Nyarugenge,Neutral,It’s too early to tell if this system is better or worse.
Haley York,Nyarugenge,Negative,This new fare system is too expensive for long commutes.
Matthew Smith,Kicukiro,Neutral,The change is interesting but needs more public education.
Mariah Mcclain,Nyarugenge,Positive,Distance-based fares make the public transport system more efficient.
Rebecca Sullivan,Kicukiro,Positive,"Finally, we pay based on how far we go. This is a great improvement!"
James Flores,Nyarugenge,Positive,I think the distance-based fare is much fairer than the flat rate.
Madison Barrett,Nyarugenge,Negative,Now I pay more for the same journey. This is not fair!
Courtney Meyers,Nyarugenge,Neutral,It’s too early to tell if this system is better or worse.
Diane Brown,Kicukiro,Negative,I preferred the flat rate fare. It was simpler and cheaper.
Caitlyn Rodriguez,Nyarugenge,Positive,"Finally, we pay based on how far we go. This is a great improvement!"
Tiffany Wagner,Kicukiro,Positive,I think the distance-based fare is much fairer than the flat rate.
Darryl Hawkins,Nyarugenge,Neutral,The change is interesting but needs more public education.
Cody Jones,Gasabo,Neutral,I'm still getting used to the new pricing system.
Tracy Moore,Gasabo,Negative,This new fare system is too expensive for long commutes.
